rowid,id,koi_name,kepler_name,planet_status,data_disposition,period,period_err1,period_err2,impact_parameter,impact_parameter_err1,impact_parameter_err2,transit_duration,transit_duration_err1,transit_duration_err2,transit_depth,transit_depth_err1,transit_depth_err2,radius,radius_prad_err1,radiusprad_err2,sma,inclination,eq_temp,mse_stat,mme_stat,signal_to_noise,num_transits,oedc_stat,stellar_eff_temp,stellar_eff_temp_err1,stellar_eff_temp_err2,stellar_surf_grav,stellar_surf_grav_err1,stellar_surf_grav_err2,stellar_metal,stellar_metal_err1,stellar_metal_err2,stellar_radius,stellar_radius_err1,stellar_radius_err2,stellar_mass,stellar_mass_err1,stellar_mass_err2,ra,dec,disposition_num
688,6936909,K01363.01,Kepler-291 b,CONFIRMED,CANDIDATE,3.546531809,9.98e-06,-9.98e-06,0.633,0.296,-0.421,2.2746,0.0765,-0.0765,443.0,18.9,-18.9,2.18,0.66,-0.23,0.0469,86.2,1212.0,4.0639963,23.153551,26.4,374.0,0.2346,5993.0,190.0,-232.0,4.489,0.052,-0.208,0.07,0.25,-0.3,0.986,0.302,-0.101,1.093,0.13,-0.159,287.91635,42.437302,1
689,6936909,K01363.02,Kepler-291 c,CONFIRMED,CANDIDATE,5.70070626,2.15e-05,-2.15e-05,0.664,0.28,-0.453,1.6408,0.094,-0.094,380.0,27.9,-27.9,2.03,0.63,-0.2,0.0644,88.15,1035.0,3.6126156,11.391634,15.2,221.0,0.6002,5993.0,190.0,-232.0,4.489,0.052,-0.208,0.07,0.25,-0.3,0.986,0.302,-0.101,1.093,0.13,-0.159,287.91635,42.437302,1
690,6962977,K01364.01,Kepler-292 f,CONFIRMED,CANDIDATE,20.8341497,0.00013,-0.00013,0.269,0.192,-0.269,4.522,0.139,-0.139,803.0,32.9,-32.9,2.26,0.17,-0.14,0.1389,89.56,563.0,6.2038746,19.91233,26.2,54.0,0.2855,5296.0,106.0,-106.0,4.538,0.044,-0.061,-0.1,0.15,-0.15,0.808,0.06,-0.049,0.821,0.052,-0.042,295.76614,42.424278,1
691,6962977,K01364.02,Kepler-292 d,CONFIRMED,CANDIDATE,7.0556584,2.13e-05,-2.13e-05,0.301,0.135,-0.301,3.0479,0.068,-0.068,706.0,23.4,-23.4,2.13,0.15,-0.13,0.0675,89.0,808.0,4.566244,26.062698,32.1,165.0,0.4502,5296.0,106.0,-106.0,4.538,0.044,-0.061,-0.1,0.15,-0.15,0.808,0.06,-0.049,0.821,0.052,-0.042,295.76614,42.424278,1
692,11176127,K01430.01,Kepler-298 b,CONFIRMED,CANDIDATE,10.47548084,1.8e-05,-1.8e-05,0.664,0.234,-0.434,2.3024,0.051,-0.051,1070.0,29.4,-29.4,2.11,0.14,-0.07,0.0811,88.61,540.0,7.816096,32.21275,40.3,129.0,0.5176,4463.0,88.0,-88.0,4.677,0.013,-0.04,-0.24,0.15,-0.15,0.611,0.041,-0.019,0.662,0.027,-0.042,283.03979,48.825359,1
693,11176127,K01430.02,Kepler-298 c,CONFIRMED,CANDIDATE,22.92886314,8.54e-05,-8.54e-05,0.805,0.139,-0.577,2.0831,0.0939,-0.0939,909.0,47.9,-47.9,2.08,0.14,-0.06,0.1367,89.15,416.0,4.695583,16.82331,21.3,56.0,0.2162,4463.0,88.0,-88.0,4.677,0.013,-0.04,-0.24,0.15,-0.15,0.611,0.041,-0.019,0.662,0.027,-0.042,283.03979,48.825359,1
694,11176127,K01430.03,Kepler-298 d,CONFIRMED,CANDIDATE,77.4740991,0.000359,-0.000359,0.758,0.013,-0.549,4.168,0.125,-0.125,1540.0,60.9,-60.9,2.63,0.18,-0.08,0.3078,89.57,277.0,8.733629,21.88943,27.5,15.0,0.0014,4463.0,88.0,-88.0,4.677,0.013,-0.04,-0.24,0.15,-0.15,0.611,0.041,-0.019,0.662,0.027,-0.042,283.03979,48.825359,1
695,11075279,K01431.01,,CANDIDATE,CANDIDATE,345.1589354,0.000426,-0.000426,0.87,0.004,-0.007,7.5646,0.0644,-0.0644,5090.0,32.1,-32.1,7.79,1.13,-0.36,0.9746,89.77,241.0,97.44233,180.64433,197.9,4.0,0.5555,5597.0,112.0,-112.0,4.515,0.021,-0.119,0.28,0.15,-0.15,0.931,0.136,-0.042,1.032,0.043,-0.068,287.02228,48.681938,1
696,11014932,K01432.01,Kepler-299 c,CONFIRMED,CANDIDATE,6.88595222,2.27e-05,-2.27e-05,0.953,0.004,-0.681,4.148,0.163,-0.163,429.0,13.6,-13.6,2.68,0.39,-0.31,0.0685,78.69,946.0,5.22476,28.989138,34.5,197.0,0.5535,5616.0,101.0,-101.0,4.394,0.105,-0.105,-0.02,0.15,-0.15,0.999,0.142,-0.116,0.903,0.068,-0.051,283.20697,48.580502,1
697,6607447,K01242.01,,CANDIDATE,CANDIDATE,99.6442783,0.000107,-0.000107,0.966,0.029,-0.018,5.1772,0.0643,-0.0643,3220.0,29.6,-29.6,8.48,1.27,-0.55,0.4283,89.21,415.0,50.157146,149.48808,163.2,13.0,0.375,6102.0,82.0,-91.0,4.447,0.04,-0.12,-0.08,0.15,-0.15,1.016,0.153,-0.066,1.049,0.07,-0.07,292.22839,42.03537,1
698,6677256,K01243.01,,FALSE POSITIVE,FALSE POSITIVE,3.125814002,8.55e-06,-8.55e-06,0.506,0.048,-0.443,1.7895,0.0683,-0.0683,239.0,9.2,-9.2,1.88,0.61,-0.26,0.0436,87.53,1460.0,4.4584374,26.694933,32.0,364.0,0.3747,6358.0,179.0,-246.0,4.346,0.101,-0.203,-0.1,0.25,-0.3,1.181,0.381,-0.163,1.125,0.185,-0.152,287.14944,42.105209,0
699,8030148,K00155.01,Kepler-474 b,CONFIRMED,CANDIDATE,5.660669429,3.71e-06,-3.71e-06,0.477,0.002,-0.419,4.6483,0.0281,-0.0281,738.0,4.3,-4.3,3.24,0.5,-0.54,0.0606,86.77,1115.0,16.75932,178.65834,201.1,237.0,0.7293,5746.0,115.0,-103.0,4.266,0.162,-0.108,-0.08,0.15,-0.15,1.173,0.178,-0.198,0.927,0.078,-0.052,292.3215,43.881168,1
700,6692833,K01244.01,,FALSE POSITIVE,FALSE POSITIVE,10.80487163,3.98e-05,-3.98e-05,0.207,0.264,-0.206,2.7215,0.0901,-0.0901,293.0,12.4,-12.4,1.71,0.51,-0.18,0.098,89.61,857.0,5.1119256,24.561169,27.4,123.0,0.1726,6092.0,168.0,-210.0,4.471,0.052,-0.195,-0.06,0.25,-0.35,0.998,0.294,-0.105,1.074,0.139,-0.153,292.23724,42.154289,0
701,6693640,K01245.01,Kepler-798 b,CONFIRMED,CANDIDATE,13.71938426,4.91e-05,-4.91e-05,0.022,0.359,-0.022,5.5677,0.0723,-0.0723,316.0,7.6,-7.6,1.98,0.61,-0.22,0.1174,89.93,864.0,6.3262296,36.90624,48.3,96.0,0.9353,6387.0,153.0,-211.0,4.41,0.067,-0.202,-0.12,0.25,-0.3,1.105,0.345,-0.123,1.145,0.157,-0.157,292.47821,42.142288,1
702,10858691,K01306.04,Kepler-286 e,CONFIRMED,CANDIDATE,29.2214959,0.000227,-0.000227,0.779,0.174,-0.545,4.014,0.169,-0.169,394.0,28.5,-28.5,1.81,0.18,-0.14,0.1723,88.78,539.0,4.250857,9.017555,14.6,37.0,0.9223,5576.0,111.0,-111.0,4.503,0.075,-0.075,-0.36,0.15,-0.15,0.829,0.086,-0.065,0.8,0.06,-0.04,290.67615,48.294289,1
703,10973814,K01307.01,Kepler-287 c,CONFIRMED,CANDIDATE,44.8520997,0.000156,-0.000156,0.807,0.107,-0.562,3.5729,0.0859,-0.0859,781.0,26.2,-26.2,3.35,0.51,-0.42,0.2409,89.24,513.0,8.438127,27.30246,33.0,28.0,0.6403,5514.0,74.0,-74.0,4.345,0.132,-0.108,0.16,0.15,-0.15,1.071,0.163,-0.134,0.926,0.062,-0.043,290.92746,48.44355,1
704,10973814,K01307.02,Kepler-287 b,CONFIRMED,CANDIDATE,20.34237838,5.57e-05,-5.57e-05,0.826,0.134,-0.595,2.3351,0.0764,-0.0764,565.0,22.6,-22.6,2.88,0.44,-0.36,0.1422,88.83,667.0,5.3906736,23.735342,28.7,65.0,0.6883,5514.0,74.0,-74.0,4.345,0.132,-0.108,0.16,0.15,-0.15,1.071,0.163,-0.134,0.926,0.062,-0.043,290.92746,48.44355,1
705,6541920,K00157.05,Kepler-11 g,CONFIRMED,CANDIDATE,118.3786735,0.000317,-0.000317,0.011,0.328,-0.01,9.5574,0.0656,-0.0656,1080.0,13.0,-13.0,3.4,0.22,-0.22,0.4596,89.99,376.0,23.928257,57.479816,83.1,12.0,0.5198,5657.0,113.0,-101.0,4.364,0.055,-0.045,0.0,0.15,-0.15,1.046,0.068,-0.068,0.921,0.071,-0.052,297.11511,41.909142,1
706,10586208,K01308.01,Kepler-811 b,CONFIRMED,CANDIDATE,23.58444746,7.99e-05,-7.99e-05,0.711,0.037,-0.497,5.5545,0.085,-0.085,429.0,11.4,-11.4,3.0,0.47,-0.7,0.1583,88.28,730.0,7.8933067,38.17304,42.8,45.0,0.1304,5655.0,113.0,-101.0,4.152,0.217,-0.093,0.0,0.15,-0.15,1.354,0.211,-0.317,0.947,0.077,-0.058,285.42429,47.83461,1
707,6962977,K01364.03,Kepler-292 e,CONFIRMED,CANDIDATE,11.97884409,5.75e-05,-5.75e-05,0.073,0.398,-0.073,3.751,0.119,-0.119,708.0,27.5,-27.5,2.11,0.15,-0.13,0.096,89.83,678.0,5.0058317,22.088585,27.8,97.0,0.2093,5296.0,106.0,-106.0,4.538,0.044,-0.061,-0.1,0.15,-0.15,0.808,0.06,-0.049,0.821,0.052,-0.042,295.76614,42.424278,1
708,6962977,K01364.04,Kepler-292 c,CONFIRMED,CANDIDATE,3.71545593,1.93e-05,-1.93e-05,0.327,0.124,-0.327,2.558,0.117,-0.117,332.0,19.0,-19.0,1.46,0.11,-0.09,0.044,88.25,1001.0,3.5967462,14.922149,19.6,298.0,0.9122,5296.0,106.0,-106.0,4.538,0.044,-0.061,-0.1,0.15,-0.15,0.808,0.06,-0.049,0.821,0.052,-0.042,295.76614,42.424278,1
709,6962977,K01364.05,Kepler-292 b,CONFIRMED,CANDIDATE,2.58083264,1.22e-05,-1.22e-05,0.16,0.299,-0.16,2.1729,0.097,-0.097,270.0,17.2,-17.2,1.31,0.09,-0.08,0.0345,89.0,1130.0,3.556008,13.412409,17.5,384.0,0.3721,5296.0,106.0,-106.0,4.538,0.044,-0.061,-0.1,0.15,-0.15,0.808,0.06,-0.049,0.821,0.052,-0.042,295.76614,42.424278,1
710,7174351,K01365.01,,FALSE POSITIVE,FALSE POSITIVE,1.487084251,4.63e-06,-4.63e-06,0.678,0.285,-0.465,1.3233,0.0886,-0.0886,296.0,19.7,-19.7,1.6,0.41,-0.13,0.0255,84.06,1462.0,4.2122483,14.378395,17.9,896.0,0.8175,5650.0,152.0,-169.0,4.551,0.031,-0.178,0.07,0.25,-0.3,0.876,0.22,-0.073,0.993,0.083,-0.125,281.43735,42.725269,0
711,6932987,K01366.01,Kepler-293 b,CONFIRMED,CANDIDATE,19.25404023,5.13e-05,-5.13e-05,0.548,0.328,-0.338,4.6509,0.0749,-0.0749,988.0,21.5,-21.5,3.04,0.88,-0.29,0.1424,88.86,657.0,7.968353,38.617783,50.7,71.0,0.3284,5798.0,156.0,-191.0,4.507,0.048,-0.204,0.1,0.25,-0.3,0.941,0.273,-0.091,1.038,0.112,-0.137,286.35806,42.406509,1
712,11014932,K01432.02,Kepler-299 d,CONFIRMED,CANDIDATE,15.0549356,0.000117,-0.000117,0.321,0.13,-0.321,4.801,0.195,-0.195,256.0,16.6,-16.6,1.6,0.22,-0.19,0.1154,89.2,729.0,4.9368367,14.513995,16.6,86.0,0.0032,5616.0,101.0,-101.0,4.394,0.105,-0.105,-0.02,0.15,-0.15,0.999,0.142,-0.116,0.903,0.068,-0.051,283.20697,48.580502,1
713,11014932,K01432.03,Kepler-299 b,CONFIRMED,CANDIDATE,2.92721119,1.5e-05,-1.5e-05,0.043,0.41,-0.043,2.545,0.123,-0.123,170.0,10.5,-10.5,1.29,0.18,-0.15,0.0387,89.72,1258.0,3.6157002,14.135632,18.0,417.0,0.9155,5616.0,101.0,-101.0,4.394,0.105,-0.105,-0.02,0.15,-0.15,0.999,0.142,-0.116,0.903,0.068,-0.051,283.20697,48.580502,1
714,11014932,K01432.04,Kepler-299 e,CONFIRMED,CANDIDATE,38.2856338,0.000531,-0.000531,0.115,0.34,-0.115,6.512,0.402,-0.402,323.0,24.1,-24.1,1.77,0.26,-0.2,0.2149,89.85,534.0,5.2318935,11.1404295,15.0,31.0,0.3227,5616.0,101.0,-101.0,4.394,0.105,-0.105,-0.02,0.15,-0.15,0.999,0.142,-0.116,0.903,0.068,-0.051,283.20697,48.580502,1
715,11288505,K01433.01,Kepler-846 b,CONFIRMED,CANDIDATE,19.80787763,9.42e-05,-9.42e-05,0.054,0.389,-0.054,3.453,0.131,-0.131,616.0,35.6,-35.6,2.08,0.52,-0.18,0.1399,89.93,624.0,5.231054,19.597445,20.1,55.0,0.7168,5775.0,143.0,-172.0,4.558,0.032,-0.168,-0.22,0.3,-0.3,0.84,0.212,-0.071,0.934,0.1,-0.11,287.05701,49.046021,1
716,11493431,K01434.01,Kepler-847 b,CONFIRMED,CANDIDATE,2.343230566,7.67e-06,-7.67e-06,0.047,0.401,-0.047,2.0424,0.0822,-0.0822,247.0,12.1,-12.1,1.18,0.04,-0.07,0.0315,89.7,1054.0,3.5424068,18.235683,23.9,454.0,0.565,4798.0,76.0,-86.0,4.533,0.06,-0.016,0.16,0.15,-0.15,0.782,0.027,-0.05,0.761,0.047,-0.027,283.50479,49.451019,1
717,6441738,K01246.01,,CANDIDATE,CANDIDATE,19.03723442,7.38e-05,-7.38e-05,0.033,0.4,-0.033,3.3882,0.0924,-0.0924,401.0,18.5,-18.5,5.74,1.29,-0.93,0.1404,89.96,1051.0,4.9258957,22.91305,25.3,71.0,0.7204,5248.0,68.0,-73.0,3.523,0.117,-0.143,-0.58,0.15,-0.15,2.892,0.648,-0.471,1.017,0.197,-0.148,291.42755,41.878159,1
718,8801343,K01247.01,,FALSE POSITIVE,FALSE POSITIVE,2.73987398,2.29e-07,-2.29e-07,0.703,0.002,-0.003,4.15886,0.00597,-0.00597,20600.0,17.7,-17.7,34.83,6.54,-11.2,0.0419,81.22,2113.0,308.4296,3950.9128,1454.3,487.0,0.0141,6520.0,162.0,-179.0,3.844,0.3,-0.1,-0.32,0.3,-0.25,2.26,0.424,-0.727,1.3,0.22,-0.22,283.46991,45.05246,0
719,8488878,K01248.01,,FALSE POSITIVE,FALSE POSITIVE,5.801880653,1.82e-06,-1.82e-06,0.773,0.004,-0.005,4.2608,0.0133,-0.0133,41900.0,179.0,-179.0,19.91,5.67,-1.78,0.0626,85.44,964.0,205.9154,1286.583,396.8,195.0,-1.0,5845.0,185.0,-205.0,4.541,0.035,-0.196,-0.16,0.3,-0.3,0.874,0.249,-0.078,0.968,0.108,-0.12,289.40573,44.516941,0
720,8560285,K01249.01,,FALSE POSITIVE,FALSE POSITIVE,85.34092607,3.41e-05,-3.41e-05,12.773,62.92,-2.511,10.6141,0.0135,-0.0135,51700.0,66.7,-66.7,1177.65,345.0,-115.0,0.3768,85.18,409.0,382.3717,1112.0742,898.4,13.0,0.0,6004.0,190.0,-232.0,4.522,0.05,-0.2,-0.26,0.3,-0.3,0.898,0.263,-0.088,0.978,0.117,-0.13,291.90237,44.683731,0
721,8620565,K01250.01,,FALSE POSITIVE,FALSE POSITIVE,0.782045734,1.66e-07,-1.66e-07,1.244,1.494,-0.137,1.7945,0.0111,-0.0111,16200.0,73.4,-73.4,45.05,14.9,-4.98,0.0169,61.34,2070.0,62.45093,417.58163,272.3,1711.0,-1.0,6113.0,183.0,-201.0,4.463,0.056,-0.224,-0.12,0.25,-0.3,0.995,0.329,-0.11,1.044,0.15,-0.137,290.26767,44.712849,0
722,8616873,K01251.01,,CANDIDATE,CANDIDATE,0.576078683,7.2e-08,-7.2e-08,1.113,0.433,-0.096,1.63253,0.00669,-0.00669,10100.0,30.2,-30.2,23.23,5.86,-1.97,0.0131,55.71,1982.0,26.813059,332.99945,426.0,1158.0,0.3853,5693.0,152.0,-169.0,4.57,0.042,-0.168,-0.24,0.3,-0.3,0.816,0.206,-0.069,0.911,0.088,-0.107,288.70087,44.70768,1
723,10854768,K01309.01,Kepler-812 b,CONFIRMED,CANDIDATE,10.1171684,2.72e-05,-2.72e-05,0.296,0.16,-0.296,4.6677,0.0684,-0.0684,289.0,6.6,-6.6,3.07,0.56,-0.67,0.1024,88.95,1163.0,5.367586,36.0002,50.6,130.0,0.1888,6306.0,81.0,-81.0,4.077,0.174,-0.116,0.24,0.15,-0.15,1.792,0.323,-0.394,1.399,0.113,-0.126,288.85529,48.208542,1
724,10964440,K01310.01,Kepler-813 b,CONFIRMED,CANDIDATE,19.12947603,7.57e-05,-7.57e-05,0.861,0.005,-0.595,3.9622,0.081,-0.081,451.0,16.1,-16.1,4.23,0.62,-1.06,0.1439,87.58,817.0,5.561409,27.225363,31.7,58.0,0.1468,5372.0,88.0,-64.0,4.007,0.218,-0.087,0.46,0.05,-0.1,1.71,0.249,-0.427,1.084,0.095,-0.123,285.66269,48.435371,1
725,10713616,K01311.01,Kepler-1667 b,CONFIRMED,CANDIDATE,83.5781976,0.000278,-0.000278,0.544,0.001,-0.484,7.2487,0.098,-0.098,631.0,13.3,-13.3,6.63,0.88,-2.06,0.4256,89.59,655.0,15.571879,46.45182,54.9,15.0,0.8415,6056.0,81.0,-72.0,3.788,0.264,-0.066,0.26,0.15,-0.15,2.562,0.341,-0.795,1.468,0.167,-0.204,283.53296,48.094261,1
726,10963242,K01312.01,Kepler-814 b,CONFIRMED,CANDIDATE,6.1469956,2.37e-05,-2.37e-05,0.083,0.371,-0.083,3.3153,0.0999,-0.0999,250.0,11.0,-11.0,2.04,0.34,-0.27,0.0695,89.67,1164.0,3.8294797,22.47045,25.8,177.0,0.1197,6110.0,79.0,-85.0,4.285,0.099,-0.121,0.16,0.15,-0.15,1.296,0.215,-0.176,1.185,0.074,-0.098,284.91049,48.431641,1
727,10785538,K01313.01,,FALSE POSITIVE,FALSE POSITIVE,0.522457732,4.4e-07,-4.4e-07,0.967,0.033,-0.715,0.8907,0.022,-0.022,144.0,4.2,-4.2,1.52,0.43,-0.19,0.0125,55.24,2308.0,3.3603704,10.736804,48.2,2046.0,0.8438,5991.0,162.0,-180.0,4.459,0.084,-0.196,-0.26,0.3,-0.3,0.954,0.272,-0.117,0.956,0.122,-0.111,286.66568,48.144581,0
728,6932987,K01366.02,Kepler-293 c,CONFIRMED,CANDIDATE,54.1558384,0.000277,-0.000277,0.927,0.018,-0.641,4.432,0.201,-0.201,1110.0,40.7,-40.7,3.88,1.12,-0.38,0.2838,88.78,466.0,7.5476775,22.053192,29.1,23.0,0.938,5798.0,156.0,-191.0,4.507,0.048,-0.204,0.1,0.25,-0.3,0.941,0.273,-0.091,1.038,0.112,-0.137,286.35806,42.406509,1
729,8191672,K00018.01,Kepler-5 b,CONFIRMED,CANDIDATE,3.548465446,1.83e-07,-1.83e-07,0.075,0.013,-0.053,4.56904,0.00118,-0.00118,7250.0,3.3,-3.3,14.92,1.08,-1.31,0.05,89.33,1640.0,165.75914,2268.56,2486.5,378.0,0.0,6290.0,125.0,-125.0,4.074,0.05,-0.05,0.04,0.15,-0.15,1.746,0.126,-0.154,1.319,0.084,-0.137,299.40701,44.035053,1
730,6851425,K00163.01,Kepler-477 B b,CONFIRMED,CANDIDATE,11.1199028,1.17e-05,-1.17e-05,0.72,0.152,-0.506,3.3759,0.0372,-0.0372,636.0,7.3,-7.3,2.08,0.14,-0.09,0.0911,87.75,649.0,11.871954,87.53735,100.3,120.0,0.5863,5078.0,101.0,-101.0,4.581,0.025,-0.053,0.0,0.15,-0.15,0.766,0.052,-0.033,0.816,0.041,-0.047,288.0676,42.35537,1
731,6934291,K01367.01,Kepler-828 b,CONFIRMED,CANDIDATE,0.567856484,4.46e-07,-4.46e-07,0.324,0.154,-0.324,1.0258,0.0248,-0.0248,335.0,7.5,-7.5,1.55,0.07,-0.13,0.0125,85.49,1848.0,4.550782,36.96481,53.8,2354.0,0.9971,5073.0,83.0,-76.0,4.483,0.082,-0.027,0.14,0.15,-0.15,0.853,0.039,-0.072,0.806,0.056,-0.03,286.88727,42.47126,1
732,7357531,K01368.01,,FALSE POSITIVE,FALSE POSITIVE,251.0597249,0.000373,-0.000373,1.264,6.614,-0.1,5.1095,0.0599,-0.0599,7420.0,79.4,-79.4,44.2,6.63,-5.99,0.7637,89.64,301.0,63.254208,91.4856,110.3,4.0,0.8906,5714.0,103.0,-114.0,4.34,0.12,-0.108,0.0,0.15,-0.15,1.086,0.163,-0.147,0.94,0.071,-0.057,290.20236,42.955891,0
733,6185711,K00169.01,,FALSE POSITIVE,FALSE POSITIVE,11.70219638,2.25e-05,-2.25e-05,1.166,68.38,-0.113,2.6658,0.084,-0.084,640.0,18.9,-18.9,16.15,3.82,-1.18,0.0951,82.27,719.0,14.167073,51.785847,41.3,90.0,0.7186,5758.0,155.0,-155.0,4.596,0.038,-0.152,-0.52,0.3,-0.3,0.762,0.18,-0.056,0.848,0.079,-0.096,284.45691,41.56131,0
734,11037335,K01435.01,Kepler-300 c,CONFIRMED,CANDIDATE,40.7150498,0.000138,-0.000138,0.638,0.237,-0.416,8.587,0.11,-0.11,564.0,10.6,-10.6,2.2,0.65,-0.21,0.2293,88.74,516.0,12.013242,46.191032,56.4,34.0,0.4931,5968.0,161.0,-179.0,4.534,0.036,-0.204,-0.26,0.3,-0.3,0.881,0.26,-0.081,0.97,0.118,-0.118,295.2887,48.59972,1
735,11037335,K01435.02,Kepler-300 b,CONFIRMED,CANDIDATE,10.44635944,2.43e-05,-2.43e-05,0.967,0.03,-0.691,2.749,0.122,-0.122,354.0,11.1,-11.1,2.18,0.64,-0.2,0.0926,84.3,812.0,5.4132304,28.358614,34.4,127.0,0.8967,5968.0,161.0,-179.0,4.534,0.036,-0.204,-0.26,0.3,-0.3,0.881,0.26,-0.081,0.97,0.118,-0.118,295.2887,48.59972,1
736,11389771,K01436.01,Kepler-301 b,CONFIRMED,CANDIDATE,2.508553286,7.67e-06,-7.67e-06,0.009,0.448,-0.009,2.2664,0.0736,-0.0736,212.0,9.0,-9.0,1.28,0.36,-0.13,0.0355,89.94,1278.0,4.1928034,21.959381,26.8,430.0,0.0307,5814.0,139.0,-156.0,4.523,0.05,-0.2,-0.18,0.3,-0.3,0.881,0.252,-0.084,0.944,0.11,-0.11,283.98297,49.23299,1
737,11389771,K01436.02,Kepler-301 d,CONFIRMED,CANDIDATE,13.75129636,6.49e-05,-6.49e-05,0.359,0.092,-0.359,3.853,0.104,-0.104,349.0,15.0,-15.0,1.66,0.47,-0.16,0.1103,89.21,725.0,5.1792703,20.443975,24.6,76.0,0.8203,5814.0,139.0,-156.0,4.523,0.05,-0.2,-0.18,0.3,-0.3,0.881,0.252,-0.084,0.944,0.11,-0.11,283.98297,49.23299,1
738,8737796,K01252.01,,FALSE POSITIVE,FALSE POSITIVE,0.885747456,6.37e-07,-6.37e-07,1.205,0.15,-0.082,4.4788,0.0361,-0.0361,895.0,5.5,-5.5,269.98,64.3,-150.0,0.0248,21.05,4958.0,20.811855,86.12313,203.6,759.0,0.7297,5487.0,120.0,-313.0,2.816,0.378,-0.162,-0.5,0.2,-0.3,10.396,2.474,-5.773,2.581,0.155,-1.393,284.28253,44.987228,0
739,8462258,K01253.01,,FALSE POSITIVE,FALSE POSITIVE,3.611541977,6.51e-06,-6.51e-06,1.254,0.827,-0.106,8.6068,0.0642,-0.0642,2970.0,21.4,-21.4,28.07,3.61,-3.25,0.0419,47.04,1005.0,19.172527,122.51739,167.1,318.0,0.708,5203.0,196.0,-179.0,4.504,0.093,-0.085,-0.2,0.3,-0.3,0.802,0.103,-0.093,0.75,0.114,-0.057,301.35507,44.492271,0
740,10925104,K00156.01,Kepler-114 c,CONFIRMED,CANDIDATE,8.041347775,8.92e-06,-8.92e-06,0.26,0.134,-0.259,2.6332,0.0303,-0.0303,591.0,8.3,-8.3,1.29,0.08,-0.07,0.0648,89.36,507.0,10.568704,59.488434,77.5,160.0,0.5084,3980.0,79.0,-79.0,4.722,0.03,-0.033,-0.2,0.15,-0.15,0.54,0.033,-0.033,0.56,0.031,-0.038,294.12143,48.349522,1
742,8494263,K01255.01,,CANDIDATE,CANDIDATE,78.9257421,0.000193,-0.000193,0.359,0.044,-0.29,7.5193,0.0991,-0.0991,18000.0,202.0,-202.0,11.9,3.1,-1.04,0.3578,89.76,398.0,60.656586,173.86752,85.2,15.0,0.0318,5750.0,161.0,-202.0,4.538,0.042,-0.179,-0.04,0.25,-0.3,0.882,0.23,-0.077,0.98,0.102,-0.125,291.44522,44.52869,1
743,8848271,K01256.01,,FALSE POSITIVE,FALSE POSITIVE,9.991625291,5.36e-06,-5.36e-06,1.256,0.258,-0.119,3.8552,0.0235,-0.0235,3450.0,19.2,-19.2,38.93,11.0,-7.31,0.0894,81.5,907.0,36.29211,244.16704,220.3,135.0,0.9011,5874.0,158.0,-176.0,4.338,0.153,-0.187,-0.12,0.3,-0.3,1.096,0.309,-0.206,0.954,0.14,-0.102,301.04239,45.022888,0
744,10585852,K01314.01,Kepler-815 b,CONFIRMED,CANDIDATE,8.57504983,5.68e-05,-5.68e-05,0.129,0.318,-0.129,8.653,0.151,-0.151,161.0,5.0,-5.0,4.26,0.25,-0.41,0.0888,89.03,1374.0,5.7493663,22.157326,36.9,130.0,0.3233,4986.0,60.0,-67.0,3.462,0.011,-0.008,-0.04,0.1,-0.15,3.464,0.197,-0.337,1.268,0.13,-0.224,285.2211,47.881378,1
745,10928043,K01315.01,,CANDIDATE,CANDIDATE,6.84639884,1.92e-05,-1.92e-05,0.9,0.011,-0.627,3.4919,0.0593,-0.0593,150.0,4.6,-4.6,1.9,0.35,-0.28,0.0732,82.65,1132.0,4.7668767,29.791174,36.3,192.0,0.1345,6065.0,121.0,-133.0,4.251,0.125,-0.125,0.07,0.15,-0.15,1.31,0.238,-0.194,1.115,0.104,-0.083,295.29385,48.374802,1
746,10794087,K01316.01,,CANDIDATE,CANDIDATE,7.64970832,4.37e-05,-4.37e-05,0.898,0.021,-0.658,6.625,0.11,-0.11,55.4,2.0,-2.0,1.43,0.23,-0.31,0.0822,77.52,1144.0,4.336284,20.20837,28.5,173.0,0.9844,5855.0,105.0,-117.0,4.125,0.168,-0.112,0.4,0.05,-0.15,1.613,0.255,-0.351,1.266,0.098,-0.147,290.55237,48.126263,1
748,6541920,K00157.06,Kepler-11 b,CONFIRMED,CANDIDATE,10.30401132,1.84e-05,-1.84e-05,0.017,0.363,-0.017,4.2246,0.0419,-0.0419,316.0,6.0,-6.0,1.84,0.12,-0.12,0.0903,89.95,849.0,7.053083,40.980724,53.8,117.0,0.6703,5657.0,113.0,-101.0,4.364,0.055,-0.045,0.0,0.15,-0.15,1.046,0.068,-0.068,0.921,0.071,-0.052,297.11511,41.909142,1
749,4275739,K01317.01,,FALSE POSITIVE,FALSE POSITIVE,2.171827838,7.52e-07,-7.52e-07,1.323,2.303,-0.28,3.2205,0.0225,-0.0225,42100.0,176.0,-176.0,58.56,16.2,-6.44,0.0322,74.22,1311.0,140.0197,1758.7235,300.6,395.0,0.0,5650.0,186.0,-186.0,4.513,0.048,-0.192,-0.02,0.25,-0.3,0.891,0.246,-0.098,0.944,0.104,-0.104,294.77393,39.333839,0
