rowid,id,koi_name,kepler_name,planet_status,data_disposition,period,impact_parameter,transit_duration,transit_depth,radius,sma,inclination,eq_temp,mse_stat,mme_stat,signal_to_noise,num_transits,oedc_stat,stellar_eff_temp,stellar_surf_grav,stellar_metal,stellar_radius,stellar_mass,ra,dec,disposition_num
2338,4677282,K02766.01,,FALSE POSITIVE,FALSE POSITIVE,1.572181216,1.149,7.219,220.0,77.12,0.0322,15.64,3384.0,5.3388414,18.294212,48.2,858.0,0.4998,6622.0,3.421,-0.4,4.315,1.789,297.11057,39.703911,0
2339,5097470,K02767.01,,FALSE POSITIVE,FALSE POSITIVE,1.28805834,0.214,3.419,92.6,1.08,0.0232,85.78,1736.0,4.0380383,21.663082,28.1,1045.0,0.2026,5631.0,4.33,0.24,1.132,0.998,291.25308,40.216671,0
2340,4858610,K02844.01,,FALSE POSITIVE,FALSE POSITIVE,2.72288246,0.08,2.408,153.0,1.06,0.0374,89.47,1162.0,4.461305,14.0844,15.5,494.0,0.0688,5458.0,4.53,0.12,0.872,0.938,297.38028,39.941071,0
2341,10591855,K02845.01,Kepler-1367 b,CONFIRMED,CANDIDATE,1.574090323,0.071,1.5796,225.0,0.93,0.0236,89.48,998.0,3.8345857,14.877646,17.7,859.0,0.6726,4313.0,4.662,0.36,0.65,0.731,288.41653,47.878731,1
2342,4832175,K02846.01,,FALSE POSITIVE,FALSE POSITIVE,0.947738312,0.022,1.206,202.0,0.88,0.0164,89.8,1229.0,3.9122555,12.351125,13.9,1196.0,1.0,4464.0,4.643,-0.2,0.638,0.654,290.73154,39.920269,0
2343,7749773,K02848.01,,CANDIDATE,CANDIDATE,13.7872627,0.921,5.747,75.1,1.55,0.1151,83.09,894.0,4.1894684,16.214994,23.9,98.0,0.1556,5691.0,4.139,0.26,1.458,1.068,290.66412,43.49984,1
2344,9451706,K00271.03,Kepler-127 b,CONFIRMED,CANDIDATE,14.4359459,0.613,3.414,107.0,1.46,0.1242,88.65,884.0,5.7231855,24.057016,22.0,90.0,0.0603,6075.0,4.264,0.32,1.352,1.225,285.19,46.027962,1
2345,10064256,K02849.01,Kepler-1692 b,CONFIRMED,CANDIDATE,5.95958637,0.26,2.899,133.0,1.02,0.0646,89.03,897.0,4.440677,12.840978,16.1,224.0,0.8114,5452.0,4.535,0.36,0.9,1.012,286.92429,47.053741,1
2346,6842807,K02921.01,,CANDIDATE,CANDIDATE,16.6146221,0.017,2.706,361.0,1.49,0.1196,89.98,604.0,2.9802232,9.203787,10.6,65.0,0.2289,5295.0,4.548,-0.1,0.8,0.825,284.35434,42.388371,1
2347,4381282,K02922.01,,FALSE POSITIVE,FALSE POSITIVE,0.497581917,0.328,1.46,141.0,0.76,0.0105,82.68,1801.0,2.987405,10.130858,17.1,1073.0,0.9413,5271.0,4.634,-1.06,0.63,0.624,295.53534,39.40818,0
2348,9815053,K02923.01,,CANDIDATE,CANDIDATE,5.83892993,0.319,1.1066,237.0,1.19,0.0598,89.53,835.0,3.5297143,12.597187,15.3,228.0,0.5964,5279.0,4.588,-0.12,0.769,0.839,283.39825,46.689789,1
2349,7609553,K02924.01,Kepler-1387 b,CONFIRMED,CANDIDATE,2.279523364,0.033,1.6202,127.0,0.87,0.031,89.83,1123.0,3.1430776,13.661968,16.7,584.0,0.3448,5017.0,4.516,-0.02,0.797,0.76,292.4404,43.209431,1
2350,10122538,K02926.01,Kepler-1388 b,CONFIRMED,CANDIDATE,12.2854718,0.291,2.996,1620.0,2.21,0.0882,89.46,434.0,6.359875,16.71722,23.8,40.0,0.4057,3891.0,4.718,0.21,0.564,0.605,283.33606,47.174541,1
2351,10122538,K02926.02,Kepler-1388 c,CONFIRMED,CANDIDATE,5.53609368,0.791,2.2942,1220.0,2.2,0.0519,86.33,566.0,4.9750314,17.191265,22.6,88.0,0.8853,3891.0,4.718,0.21,0.564,0.605,283.33606,47.174541,1
2352,9697131,K02706.01,,CANDIDATE,CANDIDATE,3.09756897,0.408,4.588,83.3,1.75,0.0463,85.13,1782.0,5.256843,29.25236,14.6,436.0,0.7377,6329.0,4.026,0.06,1.885,1.374,285.07767,46.419601,1
2353,5480640,K02707.01,Kepler-399 d,CONFIRMED,CANDIDATE,58.0337426,0.021,5.584,807.0,3.21,0.2838,89.98,486.0,6.9612913,25.795126,34.9,24.0,0.7473,5467.0,4.271,0.14,1.152,0.902,299.50174,40.670799,1
2354,5480640,K02707.02,Kepler-399 b,CONFIRMED,CANDIDATE,14.4252635,0.013,3.754,221.0,1.68,0.1122,89.98,773.0,3.828024,12.3765545,15.2,91.0,0.9055,5467.0,4.271,0.14,1.152,0.902,299.50174,40.670799,1
2355,5480640,K02707.03,Kepler-399 c,CONFIRMED,CANDIDATE,26.6757818,0.713,2.696,475.0,2.69,0.169,89.26,630.0,4.3060102,17.020468,20.0,51.0,0.5546,5467.0,4.271,0.14,1.152,0.902,299.50174,40.670799,1
2356,5175986,K02708.01,Kepler-1320 b,CONFIRMED,CANDIDATE,0.868386354,0.135,1.066,489.0,1.52,0.0163,88.78,1389.0,3.2445354,20.688766,27.3,1506.0,0.4217,4792.0,4.627,0.07,0.704,0.793,288.43359,40.380878,1
2359,9692128,K02769.01,,FALSE POSITIVE,FALSE POSITIVE,1.480323978,0.617,1.833,166.0,1.46,0.0249,82.93,1743.0,4.2090263,26.264198,43.4,908.0,0.9835,5996.0,4.342,-0.28,1.081,0.936,282.01251,46.4282,0
2360,10917043,K02770.01,,CANDIDATE,CANDIDATE,205.385912,0.008,8.681,1250.0,2.11,0.5898,90.0,200.0,9.07475,19.161308,24.3,7.0,0.3517,4400.0,4.659,-0.2,0.624,0.646,290.25385,48.360821,1
2361,6521045,K00041.02,Kepler-100 b,CONFIRMED,CANDIDATE,6.88707073,0.696,4.4679,68.7,1.3,0.072,85.37,1155.0,5.231696,27.484186,38.2,187.0,0.5283,5788.0,4.122,0.1,1.474,1.05,291.38599,41.990269,1
2363,4075015,K02850.01,,FALSE POSITIVE,FALSE POSITIVE,1.11431205,0.141,2.112,160.0,1.07,0.0206,88.03,1635.0,3.4767501,13.826928,15.5,960.0,0.1962,5776.0,4.554,-0.18,0.849,0.939,295.86008,39.140839,0
2364,6697605,K02851.01,,CANDIDATE,CANDIDATE,3.42064689,0.92,1.767,357.0,2.27,0.0426,82.03,1129.0,3.9437602,16.792065,13.9,330.0,0.5491,5370.0,4.411,0.14,0.966,0.877,293.56635,42.13258,1
2365,6697605,K02851.02,,CANDIDATE,CANDIDATE,1.23935745,0.932,1.683,151.0,1.5,0.0216,67.67,1583.0,4.0382876,10.2235,9.7,874.0,0.8645,5370.0,4.411,0.14,0.966,0.877,293.56635,42.13258,1
2366,6294819,K02852.01,Kepler-1368 b,CONFIRMED,CANDIDATE,0.675650404,0.03,1.8261,201.0,1.36,0.0153,89.41,2085.0,3.436966,17.354563,22.4,1681.0,0.9928,5966.0,4.493,-0.02,0.961,1.049,294.76697,41.64468,1
2367,12602314,K02853.01,,CANDIDATE,CANDIDATE,1.407020118,0.167,1.3766,182.0,1.12,0.0229,88.78,1350.0,3.9892275,15.100548,18.9,947.0,0.6077,5022.0,4.485,0.18,0.849,0.804,290.43323,51.626041,1
2368,5787131,K02927.01,,CANDIDATE,CANDIDATE,24.4359956,0.019,6.254,497.0,2.31,0.1702,89.96,674.0,5.223471,15.486068,17.1,47.0,0.6796,6197.0,4.449,-0.08,1.035,1.096,290.54007,41.09304,1
2369,3230753,K02928.01,,FALSE POSITIVE,FALSE POSITIVE,17.7337356,0.514,5.558,217.0,1.24,0.1293,88.62,597.0,4.6478047,14.344855,17.0,78.0,0.022,5335.0,4.56,0.12,0.831,0.914,290.2471,38.33939,0
2370,8358012,K02929.01,,FALSE POSITIVE,FALSE POSITIVE,10.06478627,0.729,2.86,286.0,1.49,0.0888,87.81,729.0,5.390547,15.078204,18.6,131.0,0.9587,5438.0,4.574,0.02,0.82,0.92,288.96942,44.359009,0
2371,4664046,K02930.01,,FALSE POSITIVE,FALSE POSITIVE,1.12976597,0.338,3.096,134.0,0.83,0.0196,82.9,1429.0,3.9273322,13.042287,14.3,951.0,0.5838,5366.0,4.625,-0.4,0.715,0.793,294.30652,39.765282,0
2372,11401755,K00277.01,Kepler-36 c,CONFIRMED,CANDIDATE,16.23191704,0.017,7.461,502.0,3.54,0.1259,89.94,926.0,17.554491,109.9509,194.9,81.0,0.1158,5919.0,4.042,-0.2,1.585,1.009,291.25018,49.231834,1
2373,4180401,K02709.01,,FALSE POSITIVE,FALSE POSITIVE,15.4126766,0.958,3.402,600.0,2.82,0.1196,85.83,618.0,6.827397,24.201456,7.5,57.0,0.0178,5240.0,4.555,0.42,0.856,0.958,296.54736,39.222542,0
2374,6350476,K02710.01,,FALSE POSITIVE,FALSE POSITIVE,1.110599919,0.214,1.3493,158.0,1.07,0.0195,88.03,1539.0,3.856905,21.53885,38.7,1211.0,0.9745,5227.0,4.463,-0.02,0.867,0.796,286.86526,41.796021,0
2375,8292840,K00260.03,Kepler-126 c,CONFIRMED,CANDIDATE,21.86965714,0.557,5.5177,126.0,1.51,0.1562,88.75,790.0,8.237079,37.507618,43.5,59.0,0.6719,6214.0,4.238,-0.16,1.297,1.059,289.34732,44.208511,1
2376,5272233,K02711.01,Kepler-400 b,CONFIRMED,CANDIDATE,9.02436414,0.014,3.011,215.0,1.62,0.085,89.97,939.0,4.83319,25.88844,23.5,143.0,0.8983,5885.0,4.348,0.0,1.111,1.004,290.94449,40.480042,1
2377,5272233,K02711.02,Kepler-400 c,CONFIRMED,CANDIDATE,17.3408735,0.489,3.398,159.0,1.43,0.1313,89.19,755.0,5.099657,14.869048,13.5,76.0,0.1875,5885.0,4.348,0.0,1.111,1.004,290.94449,40.480042,1
2378,11456382,K02771.01,,FALSE POSITIVE,FALSE POSITIVE,0.814280672,0.701,2.326,135.0,1.91,0.0185,70.66,2563.0,4.701431,28.792877,12.3,1643.0,0.902,6366.0,4.167,0.04,1.543,1.273,292.49802,49.329006,0
2379,3130548,K02773.01,,FALSE POSITIVE,FALSE POSITIVE,0.878855771,0.41,1.1014,270.0,1.57,0.0172,85.88,1864.0,3.6341784,16.841465,25.3,1217.0,0.8532,5727.0,4.438,-0.22,0.937,0.877,294.57697,38.265518,0
2380,9593757,K02774.01,,FALSE POSITIVE,FALSE POSITIVE,2.49432176,0.069,2.3269,8040.0,8.91,0.0361,89.55,1342.0,30.861826,128.06352,43.2,209.0,0.2871,5780.0,4.438,0.0,1.0,1.0,294.1062,46.210991,0
2381,6346809,K02775.01,,CANDIDATE,CANDIDATE,17.57704569,1.25,2.022,670.0,27.21,0.1239,85.89,673.0,5.422864,17.63702,19.1,61.0,0.6748,5653.0,4.442,-0.32,0.901,0.819,285.09872,41.775921,1
2382,4275117,K02776.01,,FALSE POSITIVE,FALSE POSITIVE,1.00652785,0.467,1.3175,126.0,1.03,0.0195,84.93,1815.0,5.118094,14.789312,17.9,1064.0,0.9594,6089.0,4.527,-0.36,0.889,0.971,294.63834,39.39798,0
2383,6545051,K02777.01,,FALSE POSITIVE,FALSE POSITIVE,1.99566293,0.564,4.514,197.0,1.11,0.0294,78.95,1182.0,4.6888785,18.140957,21.9,674.0,0.0034,5235.0,4.595,-0.06,0.771,0.862,297.82056,41.96693,0
2384,5513866,K02854.01,,FALSE POSITIVE,FALSE POSITIVE,0.755111225,0.694,3.164,168.0,1.38,0.0163,63.85,1999.0,5.251114,19.254623,76.4,1375.0,0.4041,5780.0,4.438,0.0,1.0,1.0,284.35446,40.723286,0
2385,4547603,K02855.01,,CANDIDATE,CANDIDATE,1.400755743,0.413,1.0562,144.0,1.3,0.0237,87.48,1628.0,3.8200362,16.541586,19.8,956.0,0.0981,5487.0,4.333,0.12,1.072,0.902,287.19247,39.626148,1
2386,5688910,K02856.01,Kepler-1369 b,CONFIRMED,CANDIDATE,25.8730914,0.196,5.085,694.0,2.88,0.1741,89.71,667.0,5.3891897,16.604742,20.1,21.0,0.745,6036.0,4.382,0.02,1.093,1.048,285.79724,40.93618,1
2387,6345732,K02857.01,Kepler-1370 b,CONFIRMED,CANDIDATE,20.2642023,0.914,4.664,185.0,2.12,0.1495,86.42,770.0,4.67066,16.409773,19.9,51.0,0.3645,5937.0,4.251,0.1,1.291,1.084,284.56567,41.778481,1
2388,5716763,K00272.01,,CANDIDATE,CANDIDATE,1.28132831,0.926,0.9157,526.0,4.52,0.0222,78.89,2215.0,8.272017,69.95161,196.4,1670.0,0.9224,5918.0,3.978,-0.62,1.596,0.881,295.10114,40.986679,1
2389,6345732,K02857.02,Kepler-1370 c,CONFIRMED,CANDIDATE,7.44136102,0.862,4.554,79.7,1.33,0.0767,82.53,1075.0,3.7584956,12.799112,14.2,136.0,0.207,5937.0,4.251,0.1,1.291,1.084,284.56567,41.778481,1
2390,8611257,K02931.01,Kepler-1389 b,CONFIRMED,CANDIDATE,99.2532336,0.947,7.208,538.0,2.17,0.3869,88.71,300.0,5.8654637,14.278832,20.5,15.0,0.6727,5010.0,4.623,-0.16,0.715,0.798,285.71741,44.758419,1
2391,3861611,K02932.01,,FALSE POSITIVE,FALSE POSITIVE,3.84933401,0.591,2.299,504.0,2.12,0.048,86.83,1147.0,4.256297,12.084565,13.6,225.0,0.3205,5984.0,4.521,-0.2,0.906,0.993,294.36057,38.948181,0
2392,12416987,K02933.01,,CANDIDATE,CANDIDATE,119.0833042,1.257,2.558,2950.0,22.19,0.4106,89.52,240.0,6.6023498,13.552178,18.9,11.0,0.8677,4412.0,4.662,-0.2,0.623,0.65,295.67798,51.257839,1
2393,8259713,K02935.01,,CANDIDATE,CANDIDATE,27.8813154,0.168,6.346,209.0,1.54,0.1832,89.71,681.0,4.6876445,12.957856,15.5,46.0,0.0731,6434.0,4.414,-0.36,1.055,1.048,299.6611,44.112381,1
2394,10880507,K02936.01,Kepler-1390 b,CONFIRMED,CANDIDATE,6.4802138,0.725,3.27,142.0,1.26,0.0662,86.12,934.0,3.5826268,12.623598,13.7,160.0,0.4164,5496.0,4.417,0.14,0.983,0.92,298.66235,48.24876,1
2395,11098013,K02712.01,,CANDIDATE,CANDIDATE,7.50790041,0.795,5.646,145.0,1.77,0.0825,82.89,1138.0,5.932929,25.74665,11.9,144.0,0.9983,6408.0,4.309,0.3,1.337,1.329,297.74728,48.694309,1
2396,5443604,K02713.01,,FALSE POSITIVE,FALSE POSITIVE,21.3910125,0.347,3.512,646.0,1.72,0.1367,89.56,483.0,10.868103,26.220987,25.1,64.0,0.7243,4889.0,4.637,-0.22,0.686,0.759,290.28503,40.689362,0
2397,12206313,K02714.01,Kepler-401 b,CONFIRMED,CANDIDATE,14.3832267,0.7,8.378,179.0,1.84,0.1188,85.84,889.0,5.694523,28.77161,39.0,89.0,0.8849,6115.0,4.249,-0.04,1.291,1.077,290.08276,50.86348,1
2398,12206313,K02714.02,Kepler-401 c,CONFIRMED,CANDIDATE,47.3186631,0.189,10.465,263.0,2.1,0.2627,89.69,598.0,16.25048,26.285856,36.2,28.0,0.0924,6115.0,4.249,-0.04,1.291,1.077,290.08276,50.86348,1
2399,9837661,K02715.01,Kepler-1321 b,CONFIRMED,CANDIDATE,11.12827427,0.594,2.6118,6060.0,4.04,0.0781,88.83,408.0,14.222022,55.062897,65.6,58.0,0.7763,3640.0,4.744,0.21,0.503,0.513,294.52859,46.640968,1
2400,7769819,K02778.01,Kepler-1342 b,CONFIRMED,CANDIDATE,2.21571296,0.796,1.8211,285.0,1.7,0.0313,82.3,1283.0,4.097107,17.881384,22.1,515.0,0.1668,5417.0,4.447,-0.08,0.901,0.83,297.02008,43.432549,1
2401,11874577,K02779.01,,CANDIDATE,CANDIDATE,34.4585495,0.626,7.434,431.0,1.88,0.2039,88.74,559.0,5.452842,19.588993,23.7,39.0,0.3742,6161.0,4.545,-0.5,0.862,0.95,296.77283,50.188419,1
2402,12164564,K02780.01,Kepler-1343 b,CONFIRMED,CANDIDATE,3.35184041,0.091,1.9855,345.0,1.88,0.0449,89.6,1294.0,4.6328583,18.348112,20.0,391.0,0.7019,6198.0,4.464,-0.16,1.005,1.072,294.29453,50.725368,1
2403,8190354,K02781.01,,FALSE POSITIVE,FALSE POSITIVE,1.615758517,0.234,1.734,41.7,1.31,0.0266,88.08,2158.0,4.7016373,17.324373,18.0,833.0,0.7199,5622.0,3.813,-0.52,2.017,0.965,299.05725,44.074902,0
2404,3425851,K00268.01,,CANDIDATE,CANDIDATE,110.3783828,0.014,12.211,490.0,3.02,0.4756,89.99,473.0,19.879332,59.904533,108.9,12.0,0.7236,6342.0,4.242,-0.06,1.359,1.175,285.72879,38.506973,1
2405,10397751,K02859.01,Kepler-1371 b,CONFIRMED,CANDIDATE,3.4462125,0.704,2.101,83.5,0.7,0.0393,85.56,1015.0,3.4557226,13.210224,15.6,386.0,0.1949,5374.0,4.555,-0.68,0.721,0.68,288.83136,47.551991,1
2406,10397751,K02859.02,Kepler-1371 c,CONFIRMED,CANDIDATE,2.005414293,0.874,1.934,59.5,0.65,0.0274,77.66,1216.0,4.43047,10.735407,13.9,625.0,0.643,5374.0,4.555,-0.68,0.721,0.68,288.83136,47.551991,1
2407,10397751,K02859.03,,CANDIDATE,CANDIDATE,4.28886792,0.534,2.599,59.3,0.57,0.0455,87.16,944.0,3.9603486,7.395775,11.1,240.0,0.1808,5374.0,4.555,-0.68,0.721,0.68,288.83136,47.551991,1
2408,7815931,K02861.01,,FALSE POSITIVE,FALSE POSITIVE,1.868564038,0.456,1.192,177.0,1.4,0.0299,87.59,1565.0,3.8558307,13.279348,17.2,719.0,0.4778,6065.0,4.427,-0.12,1.023,1.018,289.64764,43.579182,0
2409,6679295,K02862.01,,CANDIDATE,CANDIDATE,24.5752524,0.489,2.258,1000.0,1.64,0.1351,89.63,316.0,5.2338805,12.88293,12.1,45.0,0.1417,3678.0,4.755,0.26,0.512,0.545,287.94861,42.156139,1
2410,9642292,K02946.01,Kepler-1392 b,CONFIRMED,CANDIDATE,15.1408916,0.136,4.359,477.0,1.93,0.1189,89.71,714.0,5.270732,17.565126,20.1,77.0,0.9749,5926.0,4.532,-0.2,0.887,0.978,288.76697,46.394421,1
2411,6356692,K02948.01,,CANDIDATE,CANDIDATE,11.39169531,0.849,5.0,51.0,1.02,0.0956,84.87,886.0,4.283671,13.815522,19.0,119.0,0.4031,5557.0,4.198,0.0,1.249,0.897,289.39474,41.782349,1
2412,6026737,K02949.01,,CANDIDATE,CANDIDATE,10.1747037,0.726,5.179,52.4,1.04,0.0924,86.04,985.0,3.3278358,10.013133,11.8,103.0,0.1241,5866.0,4.191,0.0,1.339,1.016,285.87579,41.332432,1
2413,4991208,K02951.01,Kepler-1393 b,CONFIRMED,CANDIDATE,2.44358543,0.258,1.852,59.1,0.67,0.0337,88.5,1249.0,3.0879076,10.947981,11.9,425.0,0.6009,5561.0,4.486,-0.18,0.873,0.85,284.45947,40.142559,1
2414,8243283,K02952.01,,FALSE POSITIVE,FALSE POSITIVE,1.7592691,0.564,2.381,140.0,1.21,0.0278,83.24,1519.0,4.229135,12.317422,13.5,641.0,0.5018,5784.0,4.416,-0.14,0.984,0.921,295.23151,44.1129,0
2415,9837661,K02715.02,Kepler-1321 c,CONFIRMED,CANDIDATE,2.226496196,0.048,1.7073,1840.0,2.1,0.0267,89.73,697.0,5.6208835,31.130331,36.0,274.0,0.267,3640.0,4.744,0.21,0.503,0.513,294.52859,46.640968,1
2416,9837661,K02715.03,,CANDIDATE,CANDIDATE,5.72084599,0.166,2.744,1320.0,1.78,0.0501,89.41,509.0,3.873407,15.0563755,20.5,94.0,0.8079,3640.0,4.744,0.21,0.503,0.513,294.52859,46.640968,1
2417,9092504,K02716.01,Kepler-1322 b,CONFIRMED,CANDIDATE,0.962864171,0.736,1.6802,304.0,1.52,0.0183,76.66,1666.0,4.6663327,25.515627,31.6,1355.0,0.7937,5704.0,4.575,-0.3,0.804,0.897,293.20453,45.435398,1
2418,5383248,K00261.01,Kepler-96 b,CONFIRMED,CANDIDATE,16.23847733,0.766,3.9699,647.0,2.76,0.1235,87.94,711.0,33.625008,177.37422,125.8,79.0,0.048,5683.0,4.422,0.04,0.993,0.951,297.06961,40.525131,1
2419,9092504,K02716.02,,CANDIDATE,CANDIDATE,6.46004728,0.828,1.979,394.0,1.8,0.0652,86.82,883.0,3.3010538,12.190126,17.0,167.0,0.8978,5704.0,4.575,-0.3,0.804,0.897,293.20453,45.435398,1
2420,10001368,K02785.01,Kepler-1344 b,CONFIRMED,CANDIDATE,4.76831033,0.191,3.2363,252.0,1.78,0.0568,89.03,1219.0,5.774666,29.862207,35.4,131.0,0.2485,6237.0,4.374,-0.08,1.116,1.069,287.0863,46.945808,1
2421,9466429,K02786.01,Kepler-1345 b,CONFIRMED,CANDIDATE,44.616751,0.618,7.831,240.0,2.31,0.2638,88.99,693.0,5.848415,20.620901,28.4,31.0,0.8938,6763.0,4.22,-0.32,1.424,1.235,292.47797,46.022831,1
2422,4365442,K02787.01,,FALSE POSITIVE,FALSE POSITIVE,1.714410345,0.56,3.336,50.4,1.84,0.03,80.44,2551.0,3.9340475,18.520512,22.9,786.0,0.4113,6340.0,3.731,-0.58,2.498,1.223,291.68573,39.42886,0
2423,8885643,K02789.01,Kepler-1346 b,CONFIRMED,CANDIDATE,3.40165617,0.906,1.9617,156.0,1.34,0.044,81.42,1236.0,3.7743106,17.603607,19.9,397.0,0.8481,6177.0,4.516,-0.4,0.906,0.982,291.84131,45.17918,1
2424,5652893,K02790.01,Kepler-1347 b,CONFIRMED,CANDIDATE,14.00948631,0.268,3.399,170.0,0.98,0.104,89.5,617.0,4.611222,19.319672,22.6,93.0,0.2191,5153.0,4.551,-0.18,0.767,0.763,299.65961,40.843849,1
2425,3241557,K02863.01,,FALSE POSITIVE,FALSE POSITIVE,1.703359172,0.152,1.914,57.6,0.69,0.0274,88.72,1525.0,3.5878737,11.803434,13.9,788.0,0.2707,6026.0,4.503,-0.34,0.904,0.949,293.07806,38.359081,0
2426,3957082,K02864.01,,FALSE POSITIVE,FALSE POSITIVE,3.77881664,0.628,5.819,47.1,3.99,0.0606,80.92,2580.0,4.3269625,16.157675,22.2,354.0,0.9307,6115.0,3.267,-0.04,5.544,2.072,292.23782,39.00507,0
2427,8681833,K02865.01,Kepler-1372 b,CONFIRMED,CANDIDATE,1.311558909,0.218,1.919,141.0,1.15,0.024,87.6,1655.0,3.3469133,15.153018,17.2,1016.0,0.7325,5926.0,4.501,0.07,0.963,1.072,288.88663,44.83955,1
2428,4138951,K02866.01,Kepler-1373 b,CONFIRMED,CANDIDATE,1.291233083,0.2,1.855,66.0,0.89,0.0242,87.84,1887.0,3.5694857,13.147721,15.9,1032.0,0.7825,6384.0,4.419,-0.16,1.086,1.129,285.75204,39.24921,1
2429,3102384,K00273.01,Kepler-454 A b,CONFIRMED,CANDIDATE,10.57375145,0.785,1.7259,299.0,2.07,0.0964,88.51,844.0,14.342573,77.65751,82.0,129.0,0.0568,5720.0,4.4,0.34,1.08,1.067,287.47852,38.22884,1
2430,10471515,K02961.01,Kepler-1395 b,CONFIRMED,CANDIDATE,3.7847507,0.021,2.924,33.5,0.7,0.0494,89.88,1311.0,2.8722446,11.365295,12.2,351.0,0.7347,6017.0,4.326,0.14,1.206,1.126,292.33755,47.6642,1
2431,4935172,K02962.01,,CANDIDATE,CANDIDATE,2.17291055,0.362,2.139,76.4,0.93,0.034,87.17,1507.0,3.2666,12.720676,13.6,498.0,0.7216,6164.0,4.446,-0.02,1.045,1.109,294.86319,40.007511,1
2432,8760040,K02963.01,Kepler-1396 b,CONFIRMED,CANDIDATE,18.2206024,0.125,5.109,202.0,1.78,0.1406,89.74,786.0,4.1889167,15.275195,19.7,74.0,0.5192,5951.0,4.283,0.14,1.262,1.117,294.33646,44.918289,1
2433,8760040,K02963.02,,CANDIDATE,CANDIDATE,7.35101287,0.608,2.757,116.0,1.42,0.0768,87.88,1064.0,3.399421,10.0476,12.8,175.0,0.612,5951.0,4.283,0.14,1.262,1.117,294.33646,44.918289,1
2434,10098844,K02964.01,Kepler-1397 b,CONFIRMED,CANDIDATE,47.4497134,0.016,10.675,206.0,1.61,0.2602,89.97,551.0,4.7789087,13.829741,16.9,24.0,0.2722,6007.0,4.353,0.0,1.126,1.042,299.67587,47.07584,1
2435,9467404,K02717.01,Kepler-1323 b,CONFIRMED,CANDIDATE,0.929906166,0.102,1.743,109.0,1.48,0.0191,88.59,2291.0,4.6398687,35.40818,79.7,1440.0,0.8991,6039.0,4.169,-0.04,1.413,1.075,292.87228,46.098881,1
2436,5308666,K02718.01,,FALSE POSITIVE,FALSE POSITIVE,0.784513087,0.029,1.9206,317.0,131.4,0.0201,89.48,10634.0,4.4851136,19.132915,47.7,1661.0,0.871,3853.0,0.892,-0.22,78.869,1.772,299.55634,40.460297,0
2437,5184911,K02719.01,Kepler-1324 b,CONFIRMED,CANDIDATE,4.11585514,0.807,1.4858,426.0,1.93,0.0466,86.52,895.0,4.843243,24.11104,20.8,319.0,0.965,4827.0,4.508,0.32,0.823,0.796,291.18497,40.311211,1
2438,8176564,K02720.01,,CANDIDATE,CANDIDATE,6.57159435,0.751,3.1044,65.7,1.26,0.0694,86.05,1211.0,10.728374,28.712275,30.7,203.0,0.0519,6042.0,4.139,-0.16,1.432,1.029,295.43967,44.039162,1
2439,6587105,K02721.01,Kepler-1325 b,CONFIRMED,CANDIDATE,33.878639,0.923,6.194,700.0,3.52,0.2004,87.23,564.0,7.2801695,24.357214,27.9,29.0,0.5916,5533.0,4.348,0.16,1.072,0.933,285.01721,42.085381,1
2440,11662184,K02791.01,Kepler-1348 b,CONFIRMED,CANDIDATE,27.5722144,0.562,5.256,296.0,1.94,0.1834,89.05,636.0,4.8246074,18.632256,20.0,49.0,0.4126,5912.0,4.397,0.16,1.09,1.079,292.08746,49.788761,1
2441,11127479,K02792.01,Kepler-1349 b,CONFIRMED,CANDIDATE,2.12821621,0.098,3.146,25.9,0.7,0.0341,88.92,1668.0,6.285831,17.564272,22.1,498.0,0.3745,5952.0,4.227,0.18,1.377,1.168,286.33835,48.744099,1
2442,5428668,K02794.01,,FALSE POSITIVE,FALSE POSITIVE,0.703399912,0.393,0.823,531.0,2.15,0.0155,86.36,2013.0,3.426964,16.12382,32.0,1419.0,1.0,5955.0,4.52,-0.16,0.91,0.999,284.4447,40.693508,0
2443,5041569,K02795.01,,FALSE POSITIVE,FALSE POSITIVE,2.5355023,0.965,7.189,355.0,2.7,0.0385,44.06,1477.0,4.0670114,15.28427,37.6,456.0,0.8502,6268.0,4.429,0.07,1.1,1.188,298.85361,40.131088,0
2444,10604521,K02797.01,,CANDIDATE,CANDIDATE,0.868122253,0.006,1.5471,231.0,1.65,0.0188,89.92,2047.0,5.2245793,15.958482,23.2,1303.0,0.7921,6116.0,4.44,0.21,1.084,1.181,293.68356,47.833141,1
2445,9899181,K02867.01,,FALSE POSITIVE,FALSE POSITIVE,1.332560553,0.37,3.315,31.7,0.4,0.0218,82.79,1249.0,3.5125585,20.226822,26.1,1006.0,0.3446,4947.0,4.621,-0.06,0.714,0.8,295.15051,46.772305,0
2446,9899181,K02867.02,,FALSE POSITIVE,FALSE POSITIVE,18.936061,0.285,22.27,24.3,0.34,0.1279,87.4,516.0,4.080232,9.439787,14.0,73.0,0.6241,4947.0,4.621,-0.06,0.714,0.8,295.15051,46.772305,0
2447,8884274,K02868.01,Kepler-1374 b,CONFIRMED,CANDIDATE,10.65275054,0.051,2.684,741.0,2.2,0.0918,89.91,737.0,4.1289887,15.265494,17.5,107.0,0.3597,5602.0,4.571,-0.16,0.817,0.913,291.34998,45.172272,1
