rowid,id,koi_name,kepler_name,planet_status,data_disposition,period,impact_parameter,transit_duration,transit_depth,radius,sma,inclination,eq_temp,mse_stat,mme_stat,signal_to_noise,num_transits,oedc_stat,stellar_eff_temp,stellar_surf_grav,stellar_metal,stellar_radius,stellar_mass,ra,dec
752,6878167,K01371.01,,FALSE POSITIVE,FALSE POSITIVE,0.833980196,0.547,1.756,2.61E+02,1.45,0.017,80.13,1816,7.6196065,19.69466,56.9,802,0.0867,5747,4.53,-0.14,0.871,0.939,295.87634,42.364819
753,6880531,K01372.01,,FALSE POSITIVE,FALSE POSITIVE,69.62754202,,11.07,,,,,,,,,,,,,,,,296.3999,42.3871
754,6863839,K01373.01,,FALSE POSITIVE,FALSE POSITIVE,1.926353494,0.767,2.5305,1.85E+02,1.33,0.0292,78.81,1484,4.6182823,27.81583,36.9,699,0.1087,6063,4.481,-0.52,0.899,0.893,292.05478,42.33025
755,7296086,K01374.01,,FALSE POSITIVE,FALSE POSITIVE,0.890737359,1.146,1.9257,1.96E+02,20.57,0.018,30.02,2022,5.0013156,25.053722,37.7,1503,0.5847,5687,4.293,0.12,1.169,0.979,295.78595,42.84428
756,11389771,K01436.03,Kepler-301 c,CONFIRMED,CANDIDATE,5.41908491,0.536,2.3379,2.31E+02,1.38,0.0593,87.99,989,3.9332454,15.08037,20.2,173,0.9148,5814,4.523,-0.18,0.881,0.944,283.98297,49.23299
757,11599038,K01437.01,,CANDIDATE,CANDIDATE,7.01733571,0.581,3.567,2.56E+02,1.61,0.0712,87.34,984,3.2695124,12.549701,15.5,152,0.0777,6052,4.456,-0.26,0.967,0.974,284.84662,49.692402
758,11193263,K01438.01,Kepler-848 b,CONFIRMED,CANDIDATE,6.91134223,0.259,5.6743,2.02E+02,1.9,0.072,88.37,1086,5.727925,33.104385,44,196,0.9058,5685,4.194,0.24,1.35,1.039,293.28827,48.811619
759,11027624,K01439.01,Kepler-849 b,CONFIRMED,CANDIDATE,394.6249514,0.336,24.108,2.01E+03,7.79,1.1088,89.84,325,43.208004,77.076385,234.6,4,0.1407,5910,4.03,0.14,1.727,1.164,290.85178,48.521339
760,11032227,K01440.01,Kepler-850 b,CONFIRMED,CANDIDATE,7.19304935,0.017,3.407,2.55E+02,1.59,0.0744,89.94,995,4.6677556,17.257557,19,185,0.3826,6185,4.472,-0.18,0.991,1.06,293.08447,48.57539
761,8751933,K01257.01,Kepler-420 b,CONFIRMED,CANDIDATE,86.64764448,0,4.2326,7.31E+03,9.4,0.3786,90,419,71.32161,214.94081,241.9,16,0.0783,5522,4.323,0.26,1.12,0.963,291.22519,44.92738
762,8630788,K01258.01,Kepler-281 c,CONFIRMED,CANDIDATE,36.33750453,0.825,7.06,2.83E+03,5.3,0.2137,88.17,513,17.845207,83.923164,96.8,38,0.6455,5717,4.538,0,0.884,0.984,294.10818,44.770699
763,8630788,K01258.02,Kepler-281 b,CONFIRMED,CANDIDATE,14.64613058,0.561,5.688,5.94E+02,2.22,0.1166,88.09,694,4.9242187,24.705685,30,89,0.4667,5717,4.538,0,0.884,0.984,294.10818,44.770699
764,8630788,K01258.03,,CANDIDATE,CANDIDATE,148.272013,0.883,4.192,1.71E+03,4.3,0.5456,89.66,321,9.519084,18.454786,21.8,8,0.339,5717,4.538,0,0.884,0.984,294.10818,44.770699
765,8823426,K01259.01,,FALSE POSITIVE,FALSE POSITIVE,1.506507172,1.226,4.5346,8.81E+02,13.4,0.0202,31.59,801,4.176006,32.83695,86.7,869,0.8671,3755,4.774,-0.2,0.473,0.485,293.61743,45.016701
766,4070376,K01318.01,,FALSE POSITIVE,FALSE POSITIVE,1.634614356,1.229,3.4422,1.98E+04,44.22,0.0272,64.64,1611,52.131435,826.91174,376.5,657,0.9598,6121,4.468,-0.22,0.97,1.001,294.88181,39.161072
767,4078157,K01319.01,,FALSE POSITIVE,FALSE POSITIVE,16.02501898,13.239,3.8828,2.91E+04,1069.01,0.1187,78.78,657,84.13553,294.42953,257.8,54,0,5776,4.582,-0.42,0.789,0.879,296.47937,39.127571
768,4164994,K01320.01,Kepler-816 b,CONFIRMED,CANDIDATE,10.50682978,0.407,3.7769,1.34E+04,9.01,0.0895,88.93,668,60.11019,336.95108,343.4,83,0.6928,5127,4.589,0.12,0.782,0.872,293.36285,39.212448
769,4480676,K01321.01,,FALSE POSITIVE,FALSE POSITIVE,0.711966971,1.268,2.0221,6.23E+03,33.34,0.0141,48.11,1855,25.937656,469.62744,392.2,1501,0.0023,5486,4.47,-0.44,0.83,0.741,295.73193,39.587521
770,4079535,K01322.01,,FALSE POSITIVE,FALSE POSITIVE,17.72724392,0.825,4.1073,1.69E+04,14.77,0.1364,88.16,741,218.46481,606.2019,109.7,49,-1,6181,4.464,-0.14,1.006,1.074,296.73502,39.187801
771,6766634,K01375.01,,CANDIDATE,CANDIDATE,321.2124365,0.873,4.012,2.36E+03,7.25,0.9453,89.86,310,37.382668,79.74445,81.7,5,0.2828,6018,4.257,0.06,1.286,1.09,288.32043,42.261414
772,6774826,K01376.01,,FALSE POSITIVE,FALSE POSITIVE,7.13895376,1.199,4.568,2.54E+02,49.96,0.0807,61.87,1622,6.6407986,27.41521,32.9,184,0.6219,7131,3.913,-0.5,2.145,1.373,291.01358,42.283134
773,5652237,K00164.01,,FALSE POSITIVE,FALSE POSITIVE,4.4645454,0.808,2.8823,1.94E+02,3.07,0.0559,83.64,1601,9.715323,34.60856,37.6,300,0.0001,6093,3.91,-0.18,1.985,1.168,299.54376,40.86026
774,7211469,K01377.01,Kepler-830 b,CONFIRMED,CANDIDATE,11.29689442,0.634,4.623,1.99E+02,1.74,0.1033,87.54,907,7.745626,18.354597,20.9,121,0.0174,6096,4.358,0.14,1.176,1.155,295.05429,42.75684
775,7375795,K01378.01,,FALSE POSITIVE,FALSE POSITIVE,19.30112039,0.862,6.0752,2.32E+02,1.66,0.1324,86.22,669,8.516369,35.863037,45,71,0.1122,5687,4.408,-0.3,0.943,0.83,295.51068,42.930565
776,7255336,K00019.01,,FALSE POSITIVE,FALSE POSITIVE,1.20320092,1.274,1.9197,2.81E+03,49.25,0.0225,56.44,2124,72.82885,1460.8717,250.8,1110,0,6218,4.198,-0.24,1.349,1.045,280.94385,42.839184
777,7831264,K00171.01,Kepler-116 b,CONFIRMED,CANDIDATE,5.968724048,0.166,3.651,5.11E+02,3.26,0.067,89.25,1251,9.55923,85.64559,107.1,225,0.7027,6122,4.173,0.02,1.439,1.123,294.74207,43.536831
778,7802136,K01449.01,,FALSE POSITIVE,FALSE POSITIVE,10.9802462,0.733,3.74464,5.01E+04,21.94,0.0917,88.09,821,454.16522,2461.2927,1555.4,123,0.0556,5952,4.462,-0.52,0.897,0.851,282.79764,43.578129
779,7532973,K01450.01,Kepler-854 b,CONFIRMED,FALSE POSITIVE,2.144632238,1.228,6.2701,1.98E+04,59.19,0.0334,56.9,1736,117.24942,1522.2762,334.8,629,0.1422,6296,4.24,-0.16,1.305,1.076,293.35129,43.13464
780,9632895,K01451.01,,FALSE POSITIVE,FALSE POSITIVE,27.32204488,0.257,5.6716,7.75E+04,21.58,0.1682,89.67,531,1074.5865,4301.102,3622.7,50,0.9306,5620,4.592,-0.36,0.772,0.863,283.2413,46.378471
781,7449844,K01452.01,,FALSE POSITIVE,FALSE POSITIVE,1.152216965,0.811,2.2245,1.21E+04,187.73,0.0326,75.12,5283,88.7088,349.56705,104.5,1162,0.5948,5560,2.619,0.56,15.113,3.468,293.28156,43.055809
782,8766222,K01260.01,,FALSE POSITIVE,FALSE POSITIVE,5.2972293,0.022,3.799,1.21E+03,47.7,0.0726,89.88,2867,4.2323937,16.799067,31.8,249,0.9938,4631,2.386,-0.04,14.296,1.812,296.39639,44.963036
783,8678594,K01261.01,Kepler-799 b,CONFIRMED,CANDIDATE,133.460999,0.249,11.4997,5.03E+03,11.21,0.5167,89.84,433,60.005577,120.222275,162.3,10,0.0001,5588,4.047,0.14,1.593,1.031,287.1749,44.878571
784,10925104,K00156.02,Kepler-114 b,CONFIRMED,CANDIDATE,5.188563677,0.179,2.3683,3.59E+02,1,0.0484,89.39,586,7.282807,42.199,56.4,239,0.1985,3980,4.722,-0.2,0.54,0.56,294.12143,48.349522
785,8678594,K01261.02,,CANDIDATE,CANDIDATE,15.19423359,0.906,3.106,3.68E+02,3.69,0.1214,87.06,893,3.8574545,14.239111,18.1,88,0.7788,5588,4.047,0.14,1.593,1.031,287.1749,44.878571
786,8703884,K01262.01,,FALSE POSITIVE,FALSE POSITIVE,14.17098745,0.041,3.4804,3.07E+03,4.19,0.1068,89.93,608,26.58552,122.1254,93.6,84,0.2835,5107,4.565,-0.02,0.777,0.807,296.93393,44.853642
787,8560840,K01263.01,,FALSE POSITIVE,FALSE POSITIVE,31.9734169,1.24,13.262,1.41E+03,24.1,0.1876,78.69,442,12.32784,49.232666,62.5,43,0.3427,4931,4.595,0.28,0.774,0.865,292.13437,44.65617
788,4076098,K01323.01,Kepler-817 b,CONFIRMED,CANDIDATE,3.990105908,0.582,2.4108,6.15E+03,7.45,0.0493,87.09,1124,24.950838,246.02412,247.8,212,0.9883,5926,4.519,-0.12,0.913,1.004,296.08185,39.161621
789,4551328,K01324.01,,FALSE POSITIVE,FALSE POSITIVE,0.52205862,1.24,2.0847,1.38E+03,27.16,0.012,28.22,2022,4.427926,20.874199,169,1280,0.9726,5359,4.478,0,0.878,0.847,288.65359,39.66431
790,4282872,K01325.01,Kepler-818 b,CONFIRMED,CANDIDATE,10.03538181,0.079,3.4062,2.83E+03,4.42,0.0886,89.81,786,18.218279,139.00804,150.9,107,0.6847,5813,4.561,-0.28,0.833,0.925,296.23511,39.370338
791,4639868,K01326.01,,FALSE POSITIVE,FALSE POSITIVE,53.10094262,0.988,2.2868,2.00E+04,24.02,0.263,89.56,464,309.93567,1147.6056,1108.5,27,0.359,5465,4.396,0,0.973,0.859,286.83487,39.760849
792,10555375,K00158.01,,FALSE POSITIVE,FALSE POSITIVE,5.80181368,0.967,4.119,2.70E+02,4.52,0.0665,74.49,1491,11.327671,28.802832,35.3,179,0.1897,6020,3.86,-0.24,2.097,1.162,298.77338,47.786469
793,4372768,K01327.01,,FALSE POSITIVE,FALSE POSITIVE,15.6402515,1.167,6.222,8.00E+02,18.11,0.1123,77.78,640,9.2049055,14.437648,19.3,58,0.5438,5346,4.491,-0.24,0.826,0.771,293.61121,39.417519
794,7375795,K01378.02,,FALSE POSITIVE,FALSE POSITIVE,0.691666384,0.552,1.9603,3.56E+01,0.58,0.0144,76.6,2031,3.6677482,14.8852005,20.8,1872,0.1323,5687,4.408,-0.3,0.943,0.83,295.51068,42.930565
795,7211221,K01379.01,Kepler-831 b,CONFIRMED,CANDIDATE,5.62154315,0.742,2.4143,1.72E+02,1.37,0.0603,86.54,992,4.731419,29.15205,35.3,238,0.9944,5637,4.439,0,0.96,0.924,294.98547,42.727669
796,7025526,K01380.01,,FALSE POSITIVE,FALSE POSITIVE,1.074106954,0.122,1.9797,6.45E+01,0.52,0.0184,88.34,1255,4.241189,16.241411,48.5,621,0.598,4699,4.637,0.02,0.676,0.756,289.24817,42.565559
797,9451127,K01381.01,,FALSE POSITIVE,FALSE POSITIVE,5.117401517,0.683,4.3056,6.29E+04,28.41,0.0609,85.88,1130,232.03404,2408.5974,456.6,265,0.1622,6161,4.454,0.07,1.053,1.15,284.82272,46.013721
798,9446824,K01382.01,,FALSE POSITIVE,FALSE POSITIVE,4.20233673,0.004,3.6973,4.60E+04,23.53,0.0524,89.98,1246,160.29895,1821.1746,258.8,292,0.5777,6185,4.396,-0.04,1.094,1.083,282.18439,46.006859
799,11356260,K01441.01,Kepler-851 b,CONFIRMED,CANDIDATE,8.50698069,0.816,2.938,2.96E+02,1.9,0.0802,86.53,900,5.003191,18.6186,20.7,160,0.5272,5822,4.428,-0.1,0.986,0.951,294.68027,49.14016
800,11044770,K00170.01,,FALSE POSITIVE,FALSE POSITIVE,15.60865244,0.985,6.26,3.11E+02,6.17,0.1508,79.38,1419,7.3996925,35.82557,46.9,72,0.8915,8014,3.94,-0.14,2.43,1.874,297.97922,48.553871
801,11600889,K01442.01,Kepler-407 b,CONFIRMED,CANDIDATE,0.669310092,0.157,1.6274,1.32E+02,1.13,0.0149,87.19,1983,4.3349285,21.097862,75.3,1592,1,5475,4.426,0.34,1.003,0.977,286.03635,49.61451
802,11197126,K01443.01,,FALSE POSITIVE,FALSE POSITIVE,4.494498254,1.149,1.9742,2.48E+02,62.11,0.0624,72.04,1667,5.944186,28.775116,39.3,305,0.2584,5117,3.578,0.26,3.403,1.598,295.03461,48.882172
803,11043167,K01444.01,Kepler-852 b,CONFIRMED,CANDIDATE,44.9306706,0.481,6.539,4.38E+02,2.49,0.2654,89.42,565,7.3577967,25.53434,33.8,25,0.4467,6121,4.397,0.36,1.164,1.233,297.3916,48.560692
804,8612847,K01264.01,Kepler-800 b,CONFIRMED,CANDIDATE,14.13175309,0.848,4.0136,1.03E+03,3.02,0.1106,86.95,675,5.5979056,33.003277,40.1,95,0.1619,5616,4.564,-0.16,0.822,0.907,286.57483,44.7952
805,8552583,K01265.01,,FALSE POSITIVE,FALSE POSITIVE,1.061934816,1.25,3.2551,4.37E+02,25.72,0.0202,25.09,1660,3.9531696,19.843004,74.5,1261,0.6674,5730,4.545,-0.06,0.87,0.968,288.90857,44.64241
806,8547140,K01266.01,Kepler-801 b,CONFIRMED,CANDIDATE,11.41926141,0.242,3.9908,9.16E+02,1.48,0.0795,89.36,419,7.3355713,45.465565,58,117,0.371,3823,4.765,-0.2,0.492,0.513,286.07523,44.664639
807,8519253,K01267.01,,FALSE POSITIVE,FALSE POSITIVE,5.93821065,1.646,2.5128,5.23E+02,61.63,0.0626,69.52,996,8.345328,31.756065,33.6,227,0.619,6123,4.545,-0.54,0.85,0.924,299.2749,44.55349
808,8813698,K01268.01,,CANDIDATE,CANDIDATE,268.9410974,0.765,5.4434,9.01E+03,13.57,0.8272,89.85,321,82.94148,133.10529,120.4,4,0.3719,5798,4.224,0.14,1.306,1.041,289.88962,45.005669
809,8757910,K01269.01,,FALSE POSITIVE,FALSE POSITIVE,0.655001616,1.121,1.8136,2.71E+02,31.77,0.0168,26.85,3162,3.5475943,17.290117,104.5,1023,0.0908,6426,3.965,0.07,2.089,1.466,293.53415,44.971111
810,4074736,K01328.01,,CANDIDATE,CANDIDATE,80.9669561,0.007,2.5276,4.73E+03,5.04,0.3412,90,364,17.0344,45.888737,52,13,0.6822,5611,4.61,-0.5,0.737,0.824,295.80585,39.17799
811,4072526,K01329.01,Kepler-819 b,CONFIRMED,CANDIDATE,33.1996355,0.017,5.022,1.11E+03,2.85,0.1894,89.98,485,7.5454893,30.042027,32.6,33,0.655,5102,4.463,0.18,0.88,0.819,295.37079,39.177212
812,4150539,K01330.01,,FALSE POSITIVE,FALSE POSITIVE,8.65306587,1.222,4.486,1.05E+03,19.78,0.0726,74.99,633,6.3908563,33.64578,43,158,0.9712,4641,4.589,-0.12,0.694,0.682,289.7261,39.272831
813,4274548,K01331.01,,CANDIDATE,CANDIDATE,6.80082032,0.597,1.9883,7.00E+02,1.88,0.0636,88.43,697,4.097684,21.30607,25.5,127,0.6681,4805,4.633,-0.06,0.688,0.769,294.50842,39.398682
814,4455231,K01332.01,Kepler-288 c,CONFIRMED,CANDIDATE,19.30581662,0.001,4.2902,7.09E+02,4,0.1428,90,815,6.163419,30.262682,36.3,60,0.0785,5661,4.09,0.16,1.522,1.04,288.91644,39.594711
815,8953257,K01383.01,,FALSE POSITIVE,FALSE POSITIVE,3.221785738,0.777,3.3411,4.64E+04,25.03,0.043,83.62,1357,299.07983,3035.8984,336.4,413,0.6738,6250,4.411,-0.26,1.041,1.013,291.92065,45.247028
816,8971432,K01384.01,,FALSE POSITIVE,FALSE POSITIVE,0.6243875,1.157,1.92102,3.69E+04,29.45,0.0122,61.97,1639,132.58206,1920.8892,628.3,1068,-1,5211,4.644,-1.1,0.618,0.612,297.57349,45.233299
817,9278553,K01385.01,,FALSE POSITIVE,FALSE POSITIVE,18.61009258,1.258,4.98308,5.08E+04,55.23,0.1362,87.3,686,200.51727,1281.905,1309.3,72,0.0767,6077,4.526,-0.34,0.891,0.974,290.88354,45.765869
818,9527915,K00165.01,Kepler-478 b,CONFIRMED,CANDIDATE,13.22175358,0.451,2.7884,8.77E+02,2.38,0.1032,89.23,640,12.088782,84.771255,93.6,100,0.3071,5211,4.556,0,0.799,0.838,292.48694,46.196209
819,9143254,K01386.01,,FALSE POSITIVE,FALSE POSITIVE,1.137525054,1.238,2.68228,1.80E+04,42.74,0.0209,61.46,1746,117.48725,1758.8936,633.1,1179,0,5912,4.467,-0.24,0.937,0.939,286.36188,45.555161
820,8949247,K01387.01,,FALSE POSITIVE,FALSE POSITIVE,23.79993927,1.137,5.02319,6.02E+04,51.74,0.1616,88.15,637,495.76114,2734.8323,2065.8,57,0.0102,5934,4.473,-0.12,0.957,0.991,290.49307,45.205898
821,11336883,K01445.01,Kepler-853 b,CONFIRMED,CANDIDATE,7.16893064,0.573,4.6766,1.13E+02,1.61,0.0779,86.64,1187,5.009158,27.370365,36.3,153,0.0088,6221,4.198,0.08,1.458,1.225,283.9368,49.110329
822,11336883,K01445.02,,CANDIDATE,CANDIDATE,54.325574,0.154,9.86,4.42E+01,0.76,0.2997,89.95,545,,,7.7,,,6343,4.411,0.07,1.137,1.213,283.9368,49.110329
823,11336883,K01445.03,,CANDIDATE,CANDIDATE,20.01959599,,7,,,,,,,,,,,,,,,,283.9368,49.110329
824,12506351,K01446.01,,FALSE POSITIVE,FALSE POSITIVE,1.22775877,1.111,2.7545,4.61E+04,48.79,0.0227,70.27,1859,183.5061,2650.176,292.7,1091,0,6207,4.412,-0.2,1.044,1.021,289.04999,51.418369
825,7622486,K01447.01,,FALSE POSITIVE,FALSE POSITIVE,40.24649897,0.877,6.0203,1.59E+05,97.54,0.2425,89.21,768,470.1604,1974.3575,420.9,32,0.5557,6594,4.051,-0.34,1.691,1.174,296.02509,43.234875
826,7622486,K01447.02,,FALSE POSITIVE,FALSE POSITIVE,2.27999662,0.739,5.7777,1.28E+04,20.74,0.0358,73.84,2000,46.115246,738.1443,366.8,581,0.6471,6594,4.051,-0.34,1.691,1.174,296.02509,43.234875
827,9705459,K01448.01,,FALSE POSITIVE,FALSE POSITIVE,2.48658617,0.079,2.7189,4.21E+04,24.39,0.0379,89.46,1461,60.935436,844.7347,91.6,534,1,5892,4.35,0.48,1.198,1.173,289.80521,46.491711
828,8564587,K01270.01,Kepler-57 b,CONFIRMED,CANDIDATE,5.729317577,0.597,1.1816,8.65E+02,2.41,0.06,88.9,850,6.689879,41.12044,59,230,0.9073,5320,4.589,-0.06,0.786,0.882,293.6413,44.65704
829,10925104,K00156.03,Kepler-114 d,CONFIRMED,CANDIDATE,11.77613232,0.54,2.8971,1.43E+03,2.08,0.0836,88.87,446,20.594381,137.93265,163.5,114,0.3215,3980,4.722,-0.2,0.54,0.56,294.12143,48.349522
830,8564587,K01270.02,Kepler-57 c,CONFIRMED,CANDIDATE,11.60908533,0.03,2.2603,4.89E+02,1.71,0.096,89.96,671,5.624894,21.786615,34.1,117,0.7008,5320,4.589,-0.06,0.786,0.882,293.6413,44.65704
831,8631160,K01271.01,,CANDIDATE,CANDIDATE,162.0479502,0.663,9.8974,4.84E+03,11.52,0.6344,89.64,437,101.05077,205.05179,370.2,8,0.698,6309,4.16,0.12,1.567,1.294,294.2655,44.7943
832,8552498,K01272.01,,FALSE POSITIVE,FALSE POSITIVE,0.530967162,1.167,3.3659,2.45E+02,23.72,0.0132,12.61,2704,6.7213206,24.16605,125.5,1262,,6449,4.316,-0.24,1.193,1.069,288.86734,44.61573
833,8806072,K01273.01,Kepler-802 b,CONFIRMED,CANDIDATE,40.05881661,0.819,5.595,1.24E+03,3.43,0.2265,88.65,489,11.998382,46.182766,62.6,32,0.0501,5668,4.545,-0.02,0.868,0.963,286.01587,45.007771
834,4455231,K01332.02,Kepler-288 b,CONFIRMED,CANDIDATE,6.09747233,0.012,3.431,2.18E+02,2.22,0.0662,89.95,1197,3.9971976,13.949024,17.4,183,0.4297,5661,4.09,0.16,1.522,1.04,288.91644,39.594711
835,4455231,K01332.03,Kepler-288 d,CONFIRMED,CANDIDATE,56.637918,0.298,6.172,5.90E+02,3.68,0.2926,89.75,570,6.6247206,17.116478,20.9,21,0.2421,5661,4.09,0.16,1.522,1.04,288.91644,39.594711
836,4285107,K01333.01,,FALSE POSITIVE,FALSE POSITIVE,2.243016513,0.737,2.721,3.00E+02,1.37,0.0312,80.58,1167,4.89591,40.967316,59.1,484,0.2058,5462,4.614,-0.4,0.732,0.812,296.65308,39.322689
837,4150624,K01334.01,,FALSE POSITIVE,FALSE POSITIVE,8.6531216,1.214,4.39,6.55E+02,22.58,0.0817,73.02,772,5.827954,28.871054,35.7,156,0.2626,5421,4.564,0.21,0.852,0.969,289.7439,39.286301
838,8972058,K00159.01,Kepler-115 c,CONFIRMED,CANDIDATE,8.99088621,0.77,4.2447,4.70E+02,2.78,0.0856,85.95,960,9.809175,72.13723,93.6,147,0.3623,5881,4.315,0.07,1.171,1.032,297.71185,45.261921
839,9346253,K01388.01,,FALSE POSITIVE,FALSE POSITIVE,34.06456641,0.524,9.6114,2.85E+04,15.57,0.2026,88.93,570,212.7149,1048.8611,1305.9,41,0.6476,6161,4.517,-0.46,0.892,0.955,293.38663,45.87027
840,9002237,K01389.01,,FALSE POSITIVE,FALSE POSITIVE,4.350087749,0.986,2.6428,2.36E+04,24.77,0.0528,84.03,1136,137.98947,1435.2046,192.2,302,0.8058,6060,4.495,-0.14,0.953,1.036,283.18909,45.36417
841,9288786,K01390.01,,FALSE POSITIVE,FALSE POSITIVE,1.744101106,0.618,1.5497,9.68E+03,7.21,0.0253,85.46,1016,31.828787,510.0253,152.6,767,1,4368,4.593,0.26,0.703,0.706,294.91586,45.783871
842,8958035,K01391.01,,FALSE POSITIVE,FALSE POSITIVE,7.981187121,1.036,1.8071,7.61E+03,18.75,0.0797,86.81,966,60.878593,481.54474,202.1,171,0.9109,6217,4.472,-0.22,0.989,1.056,293.70905,45.286388
843,9040849,K01392.01,,FALSE POSITIVE,FALSE POSITIVE,4.118775582,0.754,3.76,2.65E+03,4.48,0.0484,83,1067,11.3066435,83.22578,125.6,283,0.6786,5944,4.579,-0.5,0.802,0.905,297.60529,45.36068
844,9202151,K01393.01,,CANDIDATE,CANDIDATE,1.694740233,0.671,1.6864,1.45E+03,2.12,0.0229,83.71,797,6.964219,58.821148,92.3,661,0.9734,3764,4.739,0.14,0.527,0.555,283.55554,45.614262
845,7842610,K01453.01,,FALSE POSITIVE,FALSE POSITIVE,0.971933156,1.42,1.9265,4.79E+03,50.75,0.0184,52.85,1754,36.834618,438.0961,223.1,1376,0.0046,5592,4.445,-0.08,0.931,0.883,297.89658,43.563889
846,7830637,K01454.01,,FALSE POSITIVE,FALSE POSITIVE,121.5991278,5.011,15.1596,1.05E+04,379.63,0.4693,85.18,358,605.151,1680.0522,297,11,0.7994,6036,4.551,-0.44,0.847,0.931,294.54739,43.533691
847,4760746,K01455.01,,CANDIDATE,CANDIDATE,15.06806077,0.88,3.3011,1.94E+04,16.43,0.1213,88.07,742,50.815216,298.8398,282.8,56,0.5919,5982,4.493,-0.04,0.96,1.047,295.4783,39.867722
848,7832356,K01456.01,Kepler-855 b,CONFIRMED,CANDIDATE,7.886632468,0.048,5.2147,6.33E+03,8.99,0.0762,89.78,996,44.01799,340.98322,392.3,145,0.5002,5847,4.304,-0.12,1.135,0.946,295.095,43.537579
849,9643874,K01457.01,Kepler-856 b,CONFIRMED,CANDIDATE,8.027681123,0.495,3.0942,8.73E+03,8.43,0.0787,88.52,824,52.73975,459.2871,461.5,142,0.9255,5569,4.546,0.21,0.887,1.009,289.60382,46.314949
850,8800954,K01274.01,Kepler-421 b,CONFIRMED,CANDIDATE,704.962626,0.8495,18.003,2.32E+03,4.53,1.4108,89.95,178,,,96.1,,,5305,4.489,-0.26,0.818,0.753,283.25681,45.08778
851,8583696,K01275.01,Kepler-803 b,CONFIRMED,CANDIDATE,50.28635977,0.018,6.3212,1.12E+03,3.88,0.2678,89.98,543,23.326159,91.00462,99.5,24,0.6261,5900,4.309,0,1.167,1.012,299.22162,44.693871
852,8804283,K01276.01,,CANDIDATE,CANDIDATE,22.79020351,0.036,5.0394,6.18E+02,2.57,0.1528,89.94,634,7.908446,40.07861,47.7,58,0.1098,5478,4.354,0.16,1.053,0.914,285.0361,45.07106
853,8804283,K01276.02,,CANDIDATE,CANDIDATE,13.26079792,0.22,3.912,1.99E+02,1.47,0.1065,89.51,760,4.787258,14.653385,17.6,97,0.5118,5478,4.354,0.16,1.053,0.914,285.0361,45.07106
854,8552565,K01277.01,,FALSE POSITIVE,FALSE POSITIVE,1.061932545,0.713,2.1429,1.34E+02,2.29,0.0215,75.43,2508,5.663719,23.225883,80.2,1261,0.8469,6134,3.975,-0.08,1.851,1.179,288.90253,44.632992
855,4155328,K01335.01,Kepler-820 b,CONFIRMED,CANDIDATE,127.8334997,0.416,10.914,1.83E+03,9.46,0.5829,89.72,554,20.093134,52.61262,76.9,10,0.2702,6505,3.973,0.36,2.17,1.613,291.02014,39.22068
856,4077526,K01336.01,Kepler-58 b,CONFIRMED,CANDIDATE,10.21864532,0.416,3.802,4.45E+02,2.33,0.0927,88.76,920,5.7127614,22.117716,26.6,107,0.0827,6100,4.376,-0.12,1.083,1.017,296.35867,39.115189
857,4077526,K01336.02,Kepler-58 c,CONFIRMED,CANDIDATE,15.573637,0.946,5.326,4.68E+02,2.94,0.1228,83.89,799,4.5033374,18.62881,24.7,68,0.7735,6100,4.376,-0.12,1.083,1.017,296.35867,39.115189
858,4077526,K01336.03,Kepler-58 d,CONFIRMED,CANDIDATE,40.1015561,0.868,5.246,5.50E+02,2.92,0.2307,88.44,583,4.6376443,14.215786,19,26,0.2817,6100,4.376,-0.12,1.083,1.017,296.35867,39.115189
859,4077526,K01336.04,,CANDIDATE,CANDIDATE,4.45814897,0.754,2.867,1.88E+02,1.61,0.0533,84.65,1212,3.0950994,11.357054,14.3,210,0.0296,6100,4.376,-0.12,1.083,1.017,296.35867,39.115189
860,8937021,K01394.01,,FALSE POSITIVE,FALSE POSITIVE,5.663621501,0.169,1.2968,1.23E+03,2.47,0.0568,89.72,774,17.767805,58.371937,39.8,239,0.4802,4917,4.601,-0.08,0.723,0.761,284.79102,45.228989
861,8935810,K01395.01,,CANDIDATE,CANDIDATE,6.230335,0.808,1.6493,1.45E+03,3.7,0.066,87.55,875,4.3945165,31.01034,31.6,209,0.2825,5477,4.557,0.21,0.865,0.983,284.20966,45.25808
862,2441495,K00166.01,Kepler-479 b,CONFIRMED,CANDIDATE,12.49340725,0.594,2.2614,7.16E+02,2.2,0.0994,89.04,649,11.230513,66.14145,76.2,107,0.3994,5207,4.561,0,0.795,0.84,291.02185,37.769791
863,9455556,K01396.01,Kepler-294 c,CONFIRMED,CANDIDATE,6.62643441,0.111,3.1752,8.15E+02,2.54,0.0692,89.61,895,5.7464237,32.735558,40.6,194,0.0568,5616,4.529,0.16,0.903,1.006,287.392,46.059311
864,9455556,K01396.02,Kepler-294 b,CONFIRMED,CANDIDATE,3.70122061,0.178,2.523,3.27E+02,1.62,0.0469,89.09,1087,3.8851697,15.119538,19.6,337,0.1236,5616,4.529,0.16,0.903,1.006,287.392,46.059311
865,9427402,K01397.01,,CANDIDATE,CANDIDATE,6.247030799,0.039,1.4848,1.50E+03,1.89,0.0528,89.93,512,8.951104,36.66786,44.8,182,0.4448,3821,4.764,-0.24,0.487,0.503,299.6777,45.972328
